Year,Team,Opponent,Win
2008,Troy,Southern Mississippi,0
2008,Texas Christian,Boise State,1
2008,Boise State,Texas Christian,0
2008,Notre Dame,Hawaii,1
2008,Hawaii,Notre Dame,0
2008,Florida Atlantic,Central Michigan,1
2008,Central Michigan,Florida Atlantic,0
2008,California,Miami (FL),1
2008,Miami (FL),California,0
2008,Florida State,Wisconsin,1
2008,Wisconsin,Florida State,0
2008,West Virginia,North Carolina,1
2008,North Carolina,West Virginia,0
2008,Louisiana Tech,Northern Illinois,1
2008,Northern Illinois,Louisiana Tech,0
2008,Missouri,Northwestern,1
2008,Northwestern,Missouri,0
2008,Rutgers,North Carolina State,1
2008,North Carolina State,Rutgers,0
2008,Maryland,Nevada,1
2008,Nevada,Maryland,0
2008,Oregon,Oklahoma State,1
2008,Oklahoma State,Oregon,0
2008,Rice,Western Michigan,1
2008,Western Michigan,Rice,0
2008,Houston,Air Force,1
2008,Air Force,Houston,0
2008,Kansas,Minnesota,1
2008,Minnesota,Kansas,0
2008,Louisiana State,Georgia Tech,1
2008,Georgia Tech,Louisiana State,0
2008,Oregon State,Pittsburgh,1
2008,Pittsburgh,Oregon State,0
2008,Vanderbilt,Boston College,1
2008,Boston College,Vanderbilt,0
2008,Georgia,Michigan State,1
2008,Michigan State,Georgia,0
2008,Iowa,South Carolina,1
2008,South Carolina,Iowa,0
2008,Nebraska,Clemson,1
2008,Clemson,Nebraska,0
2008,Southern California,Penn State,1
2008,Penn State,Southern California,0
2008,Virginia Tech,Cincinnati,1
2008,Cincinnati,Virginia Tech,0
2008,Kentucky,East Carolina,1
2008,East Carolina,Kentucky,0
2008,Mississippi,Texas Tech,1
2008,Texas Tech,Mississippi,0
2008,Utah,Alabama,1
2008,Alabama,Utah,0
2008,Connecticut,Buffalo,1
2008,Buffalo,Connecticut,0
2008,Texas,Ohio State,1
2008,Ohio State,Texas,0
2008,Tulsa,Ball State,1
2008,Ball State,Tulsa,0
2008,Florida,Oklahoma,1
2008,Oklahoma,Florida,0
2007,Utah,Navy,1
2007,Navy,Utah,0
2007,Florida Atlantic,Memphis,1
2007,Memphis,Florida Atlantic,0
2007,Brigham Young,UCLA,1
2007,UCLA,Brigham Young,0
2007,Cincinnati,Southern Mississippi,1
2007,Southern Mississippi,Cincinnati,0
2007,New Mexico,Nevada,1
2007,Nevada,New Mexico,0
2007,East Carolina,Boise State,1
2007,Boise State,East Carolina,0
2007,Purdue,Central Michigan,1
2007,Central Michigan,Purdue,0
2007,Texas,Arizona State,1
2007,Arizona State,Texas,0
2007,Boston College,Michigan State,1
2007,Michigan State,Boston College,0
2007,Oregon State,Maryland,1
2007,Maryland,Oregon State,0
2007,Texas Christian,Houston,1
2007,Houston,Texas Christian,0
2007,Mississippi State,Central Florida,1
2007,Central Florida,Mississippi State,0
2007,Penn State,Texas A&M,1
2007,Texas A&M,Penn State,0
2007,Wake Forest,Connecticut,1
2007,Connecticut,Wake Forest,0
2007,Alabama,Colorado,1
2007,Colorado,Alabama,0
2007,Auburn,Clemson,1
2007,Clemson,Auburn,0
2007,California,Air Force,1
2007,Air Force,California,0
2007,Fresno State,Georgia Tech,1
2007,Georgia Tech,Fresno State,0
2007,Kentucky,Florida State,1
2007,Florida State,Kentucky,0
2007,Oklahoma State,Indiana,1
2007,Indiana,Oklahoma State,0
2007,Oregon,South Florida,1
2007,South Florida,Oregon,0
2007,Georgia,Hawaii,1
2007,Hawaii,Georgia,0
2007,Michigan,Florida,1
2007,Florida,Michigan,0
2007,Missouri,Arkansas,1
2007,Arkansas,Missouri,0
2007,Southern California,Illinois,1
2007,Illinois,Southern California,0
2007,Tennessee,Wisconsin,1
2007,Wisconsin,Tennessee,0
2007,Texas Tech,Virginia,1
2007,Virginia,Texas Tech,0
2007,West Virginia,Oklahoma,1
2007,Oklahoma,West Virginia,0
2007,Kansas,Virginia Tech,1
2007,Virginia Tech,Kansas,0
2007,Rutgers,Ball State,1
2007,Ball State,Rutgers,0
2007,Tulsa,Bowling Green State,1
2007,Bowling Green State,Tulsa,0
2007,Louisiana State,Ohio State,1
2007,Ohio State,Louisiana State,0
